Filename,FieldName,FieldAlias,Type,Length,Scale
XZQ.shp,FID,FID,OID,4,0
XZQ.shp,Shape,Shape,Geometry,0,0
XZQ.shp,BSM,BSM,String,18,0
XZQ.shp,YSDM,YSDM,String,10,0
XZQ.shp,XZQDM,XZQDM,String,9,0
XZQ.shp,XZQMC,XZQMC,String,100,0
XZQ.shp,DCMJ,DCMJ,Double,0,0
XZQ.shp,JSMJ,JSMJ,Double,0,0
XZQ.shp,QYKZDM,QYKZDM,String,19,0
XZQ.shp,BZ,BZ,String,254,0
XZQJX.shp,FID,FID,OID,4,0
XZQJX.shp,Shape,Shape,Geometry,0,0
XZQJX.shp,BSM,BSM,String,18,0
XZQJX.shp,YSDM,YSDM,String,10,0
XZQJX.shp,JXLX,JXLX,String,6,0
XZQJX.shp,JXXZ,JXXZ,String,6,0
XZQJX.shp,JXSM,JXSM,String,100,0
XZQJX.shp,BZ,BZ,String,254,0
YDFDDY.shp,FID,FID,OID,4,0
YDFDDY.shp,Shape,Shape,Geometry,0,0
YDFDDY.shp,BSM,BSM,String,18,0
YDFDDY.shp,YSDM,YSDM,String,10,0
YDFDDY.shp,XZQDM,XZQDM,String,12,0
YDFDDY.shp,XZQMC,XZQMC,String,100,0
YDFDDY.shp,DLBM,DLBM,String,5,0
YDFDDY.shp,DLMC,DLMC,String,60,0
YDFDDY.shp,QSXZ,QSXZ,String,2,0
YDFDDY.shp,QSDWDM,QSDWDM,String,19,0
YDFDDY.shp,QSDWMC,QSDWMC,String,254,0
YDFDDY.shp,ZLDWDM,ZLDWDM,String,19,0
YDFDDY.shp,ZLDWMC,ZLDWMC,String,254,0
YDFDDY.shp,FDTBMJ,FDTBMJ,Double,15,2
YDFDDY.shp,FRDBS,FRDBS,String,1,0
YDFDDY.shp,FDDJYJFQDM,FDDJYJFQDM,String,6,0
YDFDDY.shp,FDDJYJFQMC,FDDJYJFQMC,String,33,0
YDFDDY.shp,SJNF,SJNF,String,4,0
YDFDDY.shp,NRZSS,NRZSS,Single,6,1
YDFDDY.shp,NRZSSFZ,NRZSSFZ,SmallInteger,3,0
YDFDDY.shp,JW,JW,Single,6,1
YDFDDY.shp,JWFZ,JWFZ,SmallInteger,3,0
YDFDDY.shp,NJJSL,NJJSL,Double,8,2
YDFDDY.shp,NJJSLFZ,NJJSLFZ,SmallInteger,3,0
YDFDDY.shp,XDSD,XDSD,Single,5,2
YDFDDY.shp,XDSDFZ,XDSDFZ,SmallInteger,3,0
YDFDDY.shp,NJDDW,NJDDW,Double,8,2
YDFDDY.shp,NJDDWFZ,NJDDWFZ,SmallInteger,3,0
YDFDDY.shp,FCS,FCS,SmallInteger,2,0
YDFDDY.shp,FCSFZ,FCSFZ,SmallInteger,3,0
YDFDDY.shp,YXTCHD,YXTCHD,SmallInteger,3,0
YDFDDY.shp,YXTCHDFZ,YXTCHDFZ,SmallInteger,3,0
YDFDDY.shp,TRPHZ,TRPHZ,Single,4,1
YDFDDY.shp,TRPHZFZ,TRPHZFZ,SmallInteger,3,0
YDFDDY.shp,TRYJZHL,TRYJZHL,Single,5,2
YDFDDY.shp,TRYJZHLFZ,TRYJZHLFZ,SmallInteger,3,0
YDFDDY.shp,TRZD,TRZD,String,9,0
YDFDDY.shp,TRZDFZ,TRZDFZ,SmallInteger,3,0
YDFDDY.shp,YZHCD,YZHCD,String,12,0
YDFDDY.shp,YZHCDFZ,YZHCDFZ,SmallInteger,3,0
YDFDDY.shp,PD,PD,String,10,0
YDFDDY.shp,PDFZ,PDFZ,SmallInteger,3,0
YDFDDY.shp,PX,PX,String,9,0
YDFDDY.shp,PXFZ,PXFZ,SmallInteger,3,0
YDFDDY.shp,HB,HB,Double,8,2
YDFDDY.shp,HBFZ,HBFZ,SmallInteger,3,0
YDFDDY.shp,DXSW,DXSW,Single,3,1
YDFDDY.shp,DXSWFZ,DXSWFZ,SmallInteger,3,0
YDFDDY.shp,FDDYFZ,FDDYFZ,Single,6,2
YDFDDY.shp,SJYDDB,SJYDDB,SmallInteger,2,0
YDFDDY.shp,FDDYBZHFZ,FDDYBZHFZ,Single,5,3
YDFDDY.shp,GJJYDDB,GJJYDDB,SmallInteger,2,0
YDFDDY.shp,BZ,BZ,String,254,0
