Filename,FieldName,FieldAlias,Type,Length,Scale
120110LDFDDY.shp,FID,FID,OID,4,0
120110LDFDDY.shp,Shape,Shape,Geometry,0,0
120110LDFDDY.shp,OBJECTID_1,OBJECTID_1,Integer,9,0
120110LDFDDY.shp,OBJECTID,OBJECTID,Double,0,0
120110LDFDDY.shp,BSM,BSM,String,18,0
120110LDFDDY.shp,YSDM,YSDM,String,10,0
120110LDFDDY.shp,XZQDM,XZQDM,String,12,0
120110LDFDDY.shp,XZQMC,XZQMC,String,100,0
120110LDFDDY.shp,DLBM,DLBM,String,5,0
120110LDFDDY.shp,DLMC,DLMC,String,60,0
120110LDFDDY.shp,QSXZ,QSXZ,String,2,0
120110LDFDDY.shp,QSDWDM,QSDWDM,String,19,0
120110LDFDDY.shp,QSDWMC,QSDWMC,String,254,0
120110LDFDDY.shp,ZLDWDM,ZLDWDM,String,19,0
120110LDFDDY.shp,ZLDWMC,ZLDWMC,String,254,0
120110LDFDDY.shp,FDTBMJ,FDTBMJ,Double,0,0
120110LDFDDY.shp,FRDBS,FRDBS,String,1,0
120110LDFDDY.shp,FDDJYJFQDM,FDDJYJFQDM,String,6,0
120110LDFDDY.shp,FDDJYJFQMC,FDDJYJFQMC,String,33,0
120110LDFDDY.shp,LZ,LZ,String,15,0
120110LDFDDY.shp,SLLB,SLLB,String,10,0
120110LDFDDY.shp,SJNF,SJNF,String,4,0
120110LDFDDY.shp,NJQW,NJQW,Single,0,0
120110LDFDDY.shp,NJQWFZ,NJQWFZ,Integer,9,0
120110LDFDDY.shp,NJJSL,NJJSL,Double,0,0
120110LDFDDY.shp,NJJSLFZ,NJJSLFZ,Integer,9,0
120110LDFDDY.shp,HB,HB,Double,0,0
120110LDFDDY.shp,HBFZ,HBFZ,Integer,9,0
120110LDFDDY.shp,PD,PD,String,10,0
120110LDFDDY.shp,PDFZ,PDFZ,Integer,9,0
120110LDFDDY.shp,PW,PW,String,10,0
120110LDFDDY.shp,PWFZ,PWFZ,Integer,9,0
120110LDFDDY.shp,DMLX,DMLX,String,16,0
120110LDFDDY.shp,DMLXFZ,DMLXFZ,Integer,9,0
120110LDFDDY.shp,TCHDDJ,TCHDDJ,String,9,0
120110LDFDDY.shp,TCHDDJFZ,TCHDDJFZ,Integer,9,0
120110LDFDDY.shp,FZZHDJYMX,FZZHDJYMX,String,3,0
120110LDFDDY.shp,FZZHD,FZZHD,String,10,0
120110LDFDDY.shp,FZZHDFZ,FZZHDFZ,Integer,9,0
120110LDFDDY.shp,TRZD,TRZD,String,9,0
120110LDFDDY.shp,TRZDFZ,TRZDFZ,Integer,9,0
120110LDFDDY.shp,SWDYXJYMX,SWDYXJYMX,String,3,0
120110LDFDDY.shp,SWDYX,SWDYX,String,15,0
120110LDFDDY.shp,SWDYXFZ,SWDYXFZ,Integer,9,0
120110LDFDDY.shp,ZBFGLX,ZBFGLX,String,15,0
120110LDFDDY.shp,STBHHX,STBHHX,String,1,0
120110LDFDDY.shp,STBHHXFZ,STBHHXFZ,Integer,9,0
120110LDFDDY.shp,QY,QY,String,10,0
120110LDFDDY.shp,QYFZ,QYFZ,Integer,9,0
120110LDFDDY.shp,SJLDDB,SJLDDB,Integer,9,0
120110LDFDDY.shp,FDDYBZHFZ,FDDYBZHFZ,Single,0,0
120110LDFDDY.shp,GJJLDDB,GJJLDDB,Integer,9,0
120110LDFDDY.shp,BZ,BZ,String,254,0
120110LDFDDY.shp,FDDYFZ,FDDYFZ,Double,8,2
120110XZQ.shp,FID,FID,OID,4,0
120110XZQ.shp,Shape,Shape,Geometry,0,0
120110XZQ.shp,BSM,BSM,String,18,0
120110XZQ.shp,YSDM,YSDM,String,10,0
120110XZQ.shp,XZQDM,XZQDM,String,9,0
120110XZQ.shp,XZQMC,XZQMC,String,100,0
120110XZQ.shp,DCMJ,DCMJ,Double,15,2
120110XZQ.shp,JSMJ,JSMJ,Double,15,2
120110XZQ.shp,QYKZDM,QYKZDM,String,19,0
120110XZQ.shp,BZ,BZ,String,254,0
120110XZQJX.shp,FID,FID,OID,4,0
120110XZQJX.shp,Shape,Shape,Geometry,0,0
120110XZQJX.shp,BSM,BSM,String,18,0
120110XZQJX.shp,YSDM,YSDM,String,10,0
120110XZQJX.shp,JXLX,JXLX,String,6,0
120110XZQJX.shp,JXXZ,JXXZ,String,6,0
120110XZQJX.shp,JXSM,JXSM,String,100,0
120110XZQJX.shp,BZ,BZ,String,254,0
