Filename,FieldName,FieldAlias,Type,Length,Scale
120110CDFDDY.shp,FID,FID,OID,4,0
120110CDFDDY.shp,Shape,Shape,Geometry,0,0
120110CDFDDY.shp,BSM,BSM,String,18,0
120110CDFDDY.shp,YSDM,YSDM,String,10,0
120110CDFDDY.shp,XZQDM,XZQDM,String,12,0
120110CDFDDY.shp,XZQMC,XZQMC,String,100,0
120110CDFDDY.shp,DLBM,DLBM,String,5,0
120110CDFDDY.shp,DLMC,DLMC,String,60,0
120110CDFDDY.shp,QSXZ,QSXZ,String,2,0
120110CDFDDY.shp,QSDWDM,QSDWDM,String,19,0
120110CDFDDY.shp,QSDWMC,QSDWMC,String,254,0
120110CDFDDY.shp,ZLDWDM,ZLDWDM,String,19,0
120110CDFDDY.shp,ZLDWMC,ZLDWMC,String,254,0
120110CDFDDY.shp,FDTBMJ,FDTBMJ,Double,17,2
120110CDFDDY.shp,CYL,CYL,String,19,0
120110CDFDDY.shp,CYX,CYX,String,19,0
120110CDFDDY.shp,FRDBS,FRDBS,String,1,0
120110CDFDDY.shp,FDDJYJFQDM,FDDJYJFQDM,String,6,0
120110CDFDDY.shp,FDDJYJFQMC,FDDJYJFQMC,String,33,0
120110CDFDDY.shp,SJNF,SJNF,String,4,0
120110CDFDDY.shp,NJQW,NJQW,Single,5,1
120110CDFDDY.shp,NJQWFZ,NJQWFZ,SmallInteger,3,0
120110CDFDDY.shp,NJJSL,NJJSL,Double,10,2
120110CDFDDY.shp,NJJSLFZ,NJJSLFZ,SmallInteger,3,0
120110CDFDDY.shp,PD,PD,String,10,0
120110CDFDDY.shp,PDFZ,PDFZ,SmallInteger,3,0
120110CDFDDY.shp,PX,PX,String,9,0
120110CDFDDY.shp,PXFZ,PXFZ,SmallInteger,3,0
120110CDFDDY.shp,YXTCHD,YXTCHD,SmallInteger,3,0
120110CDFDDY.shp,YXTCHDFZ,YXTCHDFZ,SmallInteger,3,0
120110CDFDDY.shp,TRZD,TRZD,String,9,0
120110CDFDDY.shp,TRZDFZ,TRZDFZ,SmallInteger,3,0
120110CDFDDY.shp,BTLSHL,BTLSHL,Single,7,2
120110CDFDDY.shp,BTLSHLFZ,BTLSHLFZ,SmallInteger,3,0
120110CDFDDY.shp,CYZHZBGD,CYZHZBGD,Single,7,2
120110CDFDDY.shp,CYZHZBGDFZ,CYZHZBGDFZ,SmallInteger,3,0
120110CDFDDY.shp,SWDYXJYMX,SWDYXJYMX,String,3,0
120110CDFDDY.shp,SWDYX,SWDYX,String,9,0
120110CDFDDY.shp,SWDYXFZ,SWDYXFZ,SmallInteger,3,0
120110CDFDDY.shp,ZBTH,ZBTH,String,12,0
120110CDFDDY.shp,ZBTHFZ,ZBTHFZ,SmallInteger,3,0
120110CDFDDY.shp,CDSH,CDSH,String,12,0
120110CDFDDY.shp,CDSHFZ,CDSHFZ,SmallInteger,3,0
120110CDFDDY.shp,CDYZH,CDYZH,String,15,0
120110CDFDDY.shp,CDYZHFZ,CDYZHFZ,SmallInteger,3,0
120110CDFDDY.shp,STZRBHHX,STZRBHHX,String,20,0
120110CDFDDY.shp,STZRBHHXFZ,STZRBHHXFZ,SmallInteger,3,0
120110CDFDDY.shp,ZBJG,ZBJG,String,24,0
120110CDFDDY.shp,ZBJGFZ,ZBJGFZ,SmallInteger,3,0
120110CDFDDY.shp,FDDYFZ,FDDYFZ,Double,8,2
120110CDFDDY.shp,SJCDDB,SJCDDB,SmallInteger,1,0
120110CDFDDY.shp,FDDYBZHFZ,FDDYBZHFZ,Double,8,3
120110CDFDDY.shp,GJJCDDB,GJJCDDB,SmallInteger,1,0
120110CDFDDY.shp,BZ,BZ,String,254,0
120110XZQ.shp,FID,FID,OID,4,0
120110XZQ.shp,Shape,Shape,Geometry,0,0
120110XZQ.shp,BSM,BSM,String,18,0
120110XZQ.shp,YSDM,YSDM,String,10,0
120110XZQ.shp,XZQDM,XZQDM,String,9,0
120110XZQ.shp,XZQMC,XZQMC,String,100,0
120110XZQ.shp,DCMJ,DCMJ,Double,15,2
120110XZQ.shp,JSMJ,JSMJ,Double,15,2
120110XZQ.shp,QYKZDM,QYKZDM,String,19,0
120110XZQ.shp,BZ,BZ,String,254,0
120110XZQ.shp,SHAPE_Leng,SHAPE_Leng,Double,0,0
120110XZQ.shp,SHAPE_Area,SHAPE_Area,Double,0,0
120110XZQJX.shp,FID,FID,OID,4,0
120110XZQJX.shp,Shape,Shape,Geometry,0,0
120110XZQJX.shp,BSM,BSM,String,18,0
120110XZQJX.shp,YSDM,YSDM,String,10,0
120110XZQJX.shp,JXLX,JXLX,String,6,0
120110XZQJX.shp,JXXZ,JXXZ,String,6,0
120110XZQJX.shp,JXSM,JXSM,String,100,0
120110XZQJX.shp,BZ,BZ,String,254,0
