Filename,FieldName,FieldAlias,Type,Length,Scale
JBXXM_PZ.shp,FID,FID,OID,4,0
JBXXM_PZ.shp,Shape,Shape,Geometry,0,0
JBXXM_PZ.shp,KFQDM,KFQDM,String,7,0
JBXXM_PZ.shp,KFQMC,KFQMC,String,60,0
JBXXM_PZ.shp,SZQXDM,SZQXDM,String,254,0
JBXXM_PZ.shp,SZQXMC,SZQXMC,String,254,0
JBXXM_PZ.shp,SZSMC,SZSMC,String,254,0
JBXXM_SJ.shp,FID,FID,OID,4,0
JBXXM_SJ.shp,Shape,Shape,Geometry,0,0
JBXXM_SJ.shp,KFQDM,KFQDM,String,7,0
JBXXM_SJ.shp,KFQMC,KFQMC,String,60,0
JBXXM_SJ.shp,SZQXDM,SZQXDM,String,254,0
JBXXM_SJ.shp,SZQXMC,SZQXMC,String,254,0
JBXXM_SJ.shp,SZSMC,SZSMC,String,254,0
