Filename,FieldName,FieldAlias,Type,Length,Scale
全市农用地基准地价.shp,FID,FID,OID,4,0
全市农用地基准地价.shp,Shape,Shape,Geometry,0,0
全市农用地基准地价.shp,TDJB,TDJB,SmallInteger,4,0
全市农用地基准地价.shp,YT,YT,String,20,0
全市农用地基准地价.shp,QPBH,QPBH,String,20,0
全市农用地基准地价.shp,JZDJ1,JZDJ1,Double,10,2
全市农用地基准地价.shp,JZDJ2,JZDJ2,Double,10,2
全市农用地基准地价.shp,BZ,BZ,String,50,0
全市农用地基准地价.shp,所属区,所属区,String,50,0
全市农用地基准地价.shp,区片编号,区片编号,String,50,0
全市集体建设用地基准地价.shp,FID,FID,OID,4,0
全市集体建设用地基准地价.shp,Shape,Shape,Geometry,0,0
全市集体建设用地基准地价.shp,YT,YT,String,50,0
全市集体建设用地基准地价.shp,TDJB,TDJB,String,20,0
全市集体建设用地基准地价.shp,QPBH,QPBH,String,50,0
全市集体建设用地基准地价.shp,RJL,RJL,Single,0,0
全市集体建设用地基准地价.shp,DMJ,DMJ,Integer,10,0
全市集体建设用地基准地价.shp,LMJ,LMJ,Integer,10,0
全市集体建设用地基准地价.shp,BZ,BZ,String,254,0
全市集体建设用地基准地价.shp,XZQ,XZQ,String,20,0
全市集体建设用地基准地价.shp,区片编号,区片编号,String,50,0
