Filename,FieldName,FieldAlias,Type,Length,Scale
静海区城镇低效用地调查区图斑.shp,FID,FID,OID,4,0
静海区城镇低效用地调查区图斑.shp,Shape,Shape,Geometry,0,0
静海区城镇低效用地调查区图斑.shp,MBBSM,MBBSM,Integer,10,0
静海区城镇低效用地调查区图斑.shp,YSDM,YSDM,String,6,0
静海区城镇低效用地调查区图斑.shp,DCQZMJ,DCQZMJ,Double,15,2
静海区城镇低效用地调查区图斑.shp,ZZYDMJ,ZZYDMJ,Double,15,2
静海区城镇低效用地调查区图斑.shp,SFYDMJ,SFYDMJ,Double,15,2
静海区城镇低效用地调查区图斑.shp,GKCCYDMJ,GKCCYDMJ,Double,15,2
静海区城镇低效用地调查区图斑.shp,GGGLYDMJ,GGGLYDMJ,Double,15,2
静海区城镇低效用地调查区图斑.shp,QTYDMJ,QTYDMJ,Double,15,2
静海区城镇低效用地调查区图斑.shp,DXYDZMJ,DXYDZMJ,Double,15,2
静海区城镇低效用地调查区图斑.shp,JCHZMJ,JCHZMJ,Double,15,2
静海区城镇低效用地调查区图斑.shp,JCZMJ,JCZMJ,Double,15,2
静海区城镇低效用地调查区图斑.shp,JCKMJ,JCKMJ,Double,15,2
静海区城镇低效用地调查区图斑.shp,QTDXYDMJ,QTDXYDMJ,Double,15,2
静海区城镇低效用地调查区图斑.shp,GYTDZMJ,GYTDZMJ,Double,15,2
静海区城镇低效用地调查区图斑.shp,GYDXYDMJ,GYDXYDMJ,Double,15,2
静海区城镇低效用地调查区图斑.shp,JTTDZMJ,JTTDZMJ,Double,15,2
静海区城镇低效用地调查区图斑.shp,JTDXYDMJ,JTDXYDMJ,Double,15,2
静海区城镇低效用地调查区图斑.shp,DCQBH,DCQBH,String,50,0
静海区城镇低效用地调查单元图斑.shp,FID,FID,OID,4,0
静海区城镇低效用地调查单元图斑.shp,Shape,Shape,Geometry,0,0
静海区城镇低效用地调查单元图斑.shp,MBBSM,MBBSM,Integer,10,0
静海区城镇低效用地调查单元图斑.shp,YSDM,YSDM,String,4,0
静海区城镇低效用地调查单元图斑.shp,YDDWMC,YDDWMC,String,50,0
静海区城镇低效用地调查单元图斑.shp,YDMJ,YDMJ,Double,17,2
静海区城镇低效用地调查单元图斑.shp,SJTDYT,SJTDYT,String,50,0
静海区城镇低效用地调查单元图斑.shp,TDQSXZ,TDQSXZ,String,4,0
静海区城镇低效用地调查单元图斑.shp,JSZK,JSZK,String,4,0
静海区城镇低效用地调查单元图斑.shp,JZMJ,JZMJ,Double,17,2
静海区城镇低效用地调查单元图斑.shp,JZZDMJ,JZZDMJ,Double,17,2
静海区城镇低效用地调查单元图斑.shp,JCSSPTSP,JCSSPTSP,String,20,0
静海区城镇低效用地调查单元图斑.shp,2015GDZC,2015GDZC,Double,12,2
静海区城镇低效用地调查单元图斑.shp,2016GDZC,2016GDZC,Double,12,2
静海区城镇低效用地调查单元图斑.shp,2017GDZC,2017GDZC,Double,12,2
静海区城镇低效用地调查单元图斑.shp,2015NCZ,2015NCZ,Double,12,2
静海区城镇低效用地调查单元图斑.shp,2016NCZ,2016NCZ,Double,12,2
静海区城镇低效用地调查单元图斑.shp,2017NCZ,2017NCZ,Double,12,2
静海区城镇低效用地调查单元图斑.shp,2015NSS,2015NSS,Double,12,2
静海区城镇低效用地调查单元图斑.shp,2016NSS,2016NSS,Double,12,2
静海区城镇低效用地调查单元图斑.shp,2017NSS,2017NSS,Double,12,2
静海区城镇低效用地调查单元图斑.shp,GHYT,GHYT,String,50,0
静海区城镇低效用地调查单元图斑.shp,GHRJL,GHRJL,Single,7,2
静海区城镇低效用地调查单元图斑.shp,GHJZMD,GHJZMD,Double,8,2
静海区城镇低效用地调查单元图斑.shp,GZKFYY,GZKFYY,String,100,0
静海区城镇低效用地调查单元图斑.shp,NGZKFSJ,NGZKFSJ,String,4,0
静海区城镇低效用地调查单元图斑.shp,BZ,BZ,String,200,0
静海区城镇低效用地调查单元图斑.shp,改造时间,改造时间,String,8,0
静海区城镇低效用地调查单元图斑.shp,DCQBH,DCQBH,String,50,0
静海区城镇低效用地调查单元图斑.shp,DCDYBH,DCDYBH,String,50,0
静海区城镇低效用地调查单元图斑.shp,内部空闲mj,内部空闲mj,Double,15,2
静海区城镇低效用地调查单元图斑.shp,00,00,Double,15,2
