Filename,FieldName,FieldAlias,Type,Length,Scale
Export_Output.shp,FID,FID,OID,4,0
Export_Output.shp,Shape,Shape,Geometry,0,0
Export_Output.shp,OBJECTID,OBJECTID,Integer,10,0
Export_Output.shp,行政区,行政区,String,254,0
Export_Output.shp,所在区,所在区,String,254,0
Export_Output.shp,具体位,具体位,String,254,0
Export_Output.shp,住宅类,住宅类,String,254,0
Export_Output.shp,开发企,开发企,String,254,0
Export_Output.shp,土地面,土地面,Double,0,0
Export_Output.shp,建设状,建设状,String,254,0
Export_Output.shp,供地时,供地时,String,254,0
Export_Output.shp,约定开,约定开,String,254,0
Export_Output.shp,约定竣,约定竣,String,254,0
Export_Output.shp,未销售,未销售,Double,0,0
Export_Output.shp,项目名,项目名,String,30,0
Export_Output.shp,Shape_Leng,Shape_Leng,Double,0,0
Export_Output.shp,Shape_Area,Shape_Area,Double,0,0
