Filename,FieldName,FieldAlias,Type,Length,Scale
天津市东丽区标准宗地基本信息图层.shp,FID,FID,OID,4,0
天津市东丽区标准宗地基本信息图层.shp,Shape,Shape,Geometry,0,0
天津市东丽区标准宗地基本信息图层.shp,OBJECTID,OBJECTID,Integer,10,0
天津市东丽区标准宗地基本信息图层.shp,BZZDBM,BZZDBM,String,20,0
天津市东丽区标准宗地基本信息图层.shp,SSQ,SSQ,String,20,0
天津市东丽区标准宗地基本信息图层.shp,ZDLX,ZDLX,String,20,0
天津市东丽区标准宗地基本信息图层.shp,TDJB,TDJB,String,20,0
天津市东丽区标准宗地基本信息图层.shp,JZDJDMJ,JZDJDMJ,Integer,10,0
天津市东丽区标准宗地基本信息图层.shp,JZDJLMJ,JZDJLMJ,Integer,10,0
天津市东丽区标准宗地基本信息图层.shp,TDSYZ,TDSYZ,String,100,0
天津市东丽区标准宗地基本信息图层.shp,SYZ,SYZ,String,100,0
天津市东丽区标准宗地基本信息图层.shp,SYQLX,SYQLX,String,30,0
天津市东丽区标准宗地基本信息图层.shp,TXQL,TXQL,String,30,0
天津市东丽区标准宗地基本信息图层.shp,PZSYNX,PZSYNX,String,20,0
天津市东丽区标准宗地基本信息图层.shp,SYSYNX,SYSYNX,String,20,0
天津市东丽区标准宗地基本信息图层.shp,BDCZSBH,BDCZSBH,String,20,0
天津市东丽区标准宗地基本信息图层.shp,ZDH,ZDH,String,20,0
天津市东丽区标准宗地基本信息图层.shp,TDSJYT,TDSJYT,String,20,0
天津市东丽区标准宗地基本信息图层.shp,TDMJ,TDMJ,Single,0,0
天津市东丽区标准宗地基本信息图层.shp,XZJZMJ,XZJZMJ,Single,0,0
天津市东丽区标准宗地基本信息图层.shp,GHJZMJ,GHJZMJ,Single,0,0
天津市东丽区标准宗地基本信息图层.shp,XZRJL,XZRJL,Single,0,0
天津市东丽区标准宗地基本信息图层.shp,GHRJL,GHRJL,Single,0,0
天津市东丽区标准宗地基本信息图层.shp,XZKFCD,XZKFCD,String,20,0
天津市东丽区标准宗地基本信息图层.shp,QYSDKFCD,QYSDKFCD,String,20,0
天津市东丽区标准宗地基本信息图层.shp,GHXZ,GHXZ,String,20,0
天津市东丽区标准宗地基本信息图层.shp,ZYJZW,ZYJZW,String,20,0
天津市东丽区标准宗地基本信息图层.shp,JSZZXJL,JSZZXJL,Single,0,0
天津市东丽区标准宗地基本信息图层.shp,LJZK,LJZK,String,20,0
天津市东丽区标准宗地基本信息图层.shp,ZWJTTJ,ZWJTTJ,String,50,0
天津市东丽区标准宗地基本信息图层.shp,ZWHJTJ,ZWHJTJ,String,50,0
天津市东丽区标准宗地基本信息图层.shp,DZTJ,DZTJ,String,20,0
天津市东丽区标准宗地基本信息图层.shp,ZDXZ,ZDXZ,String,20,0
天津市东丽区标准宗地基本信息图层.shp,SDYT,SDYT,String,20,0
天津市东丽区标准宗地基本信息图层.shp,SDQLZK,SDQLZK,String,20,0
天津市东丽区标准宗地基本信息图层.shp,SDRJL,SDRJL,Single,0,0
天津市东丽区标准宗地基本信息图层.shp,SDSYNQ,SDSYNQ,String,20,0
天津市东丽区标准宗地基本信息图层.shp,SDKFCD,SDKFCD,String,20,0
天津市东丽区标准宗地基本信息图层.shp,DJQR,DJQR,String,20,0
天津市东丽区标准宗地基本信息图层.shp,TDJYLX,TDJYLX,String,20,0
天津市东丽区标准宗地基本信息图层.shp,TDJYJG,TDJYJG,Single,0,0
天津市东丽区标准宗地基本信息图层.shp,DJRY,DJRY,String,20,0
天津市东丽区标准宗地基本信息图层.shp,DJSJ,DJSJ,String,20,0
天津市东丽区标准宗地基本信息图层.shp,QDRY,QDRY,String,20,0
天津市东丽区标准宗地基本信息图层.shp,QDSJ,QDSJ,String,20,0
天津市东丽区标准宗地基本信息图层.shp,CDDW,CDDW,String,50,0
天津市东丽区标准宗地基本信息图层.shp,BZ,BZ,String,100,0
