Filename,FieldName,FieldAlias,Type,Length,Scale
XZQ,BSM,BSM,Char,18,0
XZQ,要素代码,YSDM,Char,10,0
XZQ,XZQDM,XZQDM,Char,9,0
XZQ,XZQMC,XZQMC,Char,100,0
XZQ,DCMJ,DCMJ,Double,0,0
XZQ,JSMJ,JSMJ,Double,0,0
XZQ,QYKZDM,QYKZDM,Char,19,0
XZQ,备注,BZ,Char,254,0
行政区界线,BSM,BSM,Char,18,0
行政区界线,要素代码,YSDM,Char,10,0
行政区界线,JXLX,JXLX,Char,6,0
行政区界线,JXXZ,JXXZ,Char,6,0
行政区界线,JXSM,JXSM,Char,100,0
行政区界线,备注,BZ,Char,254,0
YDFDDY,BSM,BSM,Char,18,0
YDFDDY,要素代码,YSDM,Char,10,0
YDFDDY,XZQDM,XZQDM,Char,12,0
YDFDDY,XZQMC,XZQMC,Char,100,0
YDFDDY,DLBM,DLBM,Char,5,0
YDFDDY,DLMC,DLMC,Char,60,0
YDFDDY,QSXZ,QSXZ,Char,2,0
YDFDDY,QSDWDM,QSDWDM,Char,19,0
YDFDDY,QSDWMC,QSDWMC,Char,254,0
YDFDDY,ZLDWDM,ZLDWDM,Char,19,0
YDFDDY,ZLDWMC,ZLDWMC,Char,254,0
YDFDDY,FDTBMJ,FDTBMJ,Double,15,2
YDFDDY,FRDBS,FRDBS,Char,1,0
YDFDDY,FDDJYJFQDM,FDDJYJFQDM,Char,6,0
YDFDDY,FDDJYJFQMC,FDDJYJFQMC,Char,33,0
YDFDDY,SJNF,SJNF,Char,4,0
YDFDDY,NRZSS,NRZSS,Float,6,1
YDFDDY,NRZSSFZ,NRZSSFZ,Short,3,0
YDFDDY,JW,JW,Float,6,1
YDFDDY,JWFZ,JWFZ,Short,3,0
YDFDDY,NJJSL,NJJSL,Double,8,2
YDFDDY,NJJSLFZ,NJJSLFZ,Short,3,0
YDFDDY,XDSD,XDSD,Float,5,2
YDFDDY,XDSDFZ,XDSDFZ,Short,3,0
YDFDDY,NJDDW,NJDDW,Double,8,2
YDFDDY,NJDDWFZ,NJDDWFZ,Short,3,0
YDFDDY,FCS,FCS,Short,2,0
YDFDDY,FCSFZ,FCSFZ,Short,3,0
YDFDDY,YXTCHD,YXTCHD,Short,3,0
YDFDDY,YXTCHDFZ,YXTCHDFZ,Short,3,0
YDFDDY,TRPHZ,TRPHZ,Float,4,1
YDFDDY,TRPHZFZ,TRPHZFZ,Short,3,0
YDFDDY,TRYJZHL,TRYJZHL,Float,5,2
YDFDDY,TRYJZHLFZ,TRYJZHLFZ,Short,3,0
YDFDDY,TRZD,TRZD,Char,9,0
YDFDDY,TRZDFZ,TRZDFZ,Short,3,0
YDFDDY,YZHCD,YZHCD,Char,12,0
YDFDDY,YZHCDFZ,YZHCDFZ,Short,3,0
YDFDDY,PD,PD,Char,10,0
YDFDDY,PDFZ,PDFZ,Short,3,0
YDFDDY,PX,PX,Char,9,0
YDFDDY,PXFZ,PXFZ,Short,3,0
YDFDDY,HB,HB,Double,8,2
YDFDDY,HBFZ,HBFZ,Short,3,0
YDFDDY,DXSW,DXSW,Float,3,1
YDFDDY,DXSWFZ,DXSWFZ,Short,3,0
YDFDDY,FDDYFZ,FDDYFZ,Float,6,2
YDFDDY,SJYDDB,SJYDDB,Short,2,0
YDFDDY,FDDYBZHFZ,FDDYBZHFZ,Float,5,3
YDFDDY,GJJYDDB,GJJYDDB,Short,2,0
YDFDDY,备注,BZ,Char,254,0
