Filename,FieldName,FieldAlias,Type,Length,Scale
120110LDFDDY,OBJECTID_1,OBJECTID_1,Int,9,0
120110LDFDDY,OBJECTID,OBJECTID,Double,0,0
120110LDFDDY,BSM,BSM,Char,18,0
120110LDFDDY,要素代码,YSDM,Char,10,0
120110LDFDDY,XZQDM,XZQDM,Char,12,0
120110LDFDDY,XZQMC,XZQMC,Char,100,0
120110LDFDDY,DLBM,DLBM,Char,5,0
120110LDFDDY,DLMC,DLMC,Char,60,0
120110LDFDDY,QSXZ,QSXZ,Char,2,0
120110LDFDDY,QSDWDM,QSDWDM,Char,19,0
120110LDFDDY,QSDWMC,QSDWMC,Char,254,0
120110LDFDDY,ZLDWDM,ZLDWDM,Char,19,0
120110LDFDDY,ZLDWMC,ZLDWMC,Char,254,0
120110LDFDDY,FDTBMJ,FDTBMJ,Double,0,0
120110LDFDDY,FRDBS,FRDBS,Char,1,0
120110LDFDDY,FDDJYJFQDM,FDDJYJFQDM,Char,6,0
120110LDFDDY,FDDJYJFQMC,FDDJYJFQMC,Char,33,0
120110LDFDDY,LZ,LZ,Char,15,0
120110LDFDDY,SLLB,SLLB,Char,10,0
120110LDFDDY,SJNF,SJNF,Char,4,0
120110LDFDDY,NJQW,NJQW,Float,0,0
120110LDFDDY,NJQWFZ,NJQWFZ,Int,9,0
120110LDFDDY,NJJSL,NJJSL,Double,0,0
120110LDFDDY,NJJSLFZ,NJJSLFZ,Int,9,0
120110LDFDDY,HB,HB,Double,0,0
120110LDFDDY,HBFZ,HBFZ,Int,9,0
120110LDFDDY,PD,PD,Char,10,0
120110LDFDDY,PDFZ,PDFZ,Int,9,0
120110LDFDDY,PW,PW,Char,10,0
120110LDFDDY,PWFZ,PWFZ,Int,9,0
120110LDFDDY,DMLX,DMLX,Char,16,0
120110LDFDDY,DMLXFZ,DMLXFZ,Int,9,0
120110LDFDDY,TCHDDJ,TCHDDJ,Char,9,0
120110LDFDDY,TCHDDJFZ,TCHDDJFZ,Int,9,0
120110LDFDDY,FZZHDJYMX,FZZHDJYMX,Char,3,0
120110LDFDDY,FZZHD,FZZHD,Char,10,0
120110LDFDDY,FZZHDFZ,FZZHDFZ,Int,9,0
120110LDFDDY,TRZD,TRZD,Char,9,0
120110LDFDDY,TRZDFZ,TRZDFZ,Int,9,0
120110LDFDDY,SWDYXJYMX,SWDYXJYMX,Char,3,0
120110LDFDDY,SWDYX,SWDYX,Char,15,0
120110LDFDDY,SWDYXFZ,SWDYXFZ,Int,9,0
120110LDFDDY,ZBFGLX,ZBFGLX,Char,15,0
120110LDFDDY,STBHHX,STBHHX,Char,1,0
120110LDFDDY,STBHHXFZ,STBHHXFZ,Int,9,0
120110LDFDDY,QY,QY,Char,10,0
120110LDFDDY,QYFZ,QYFZ,Int,9,0
120110LDFDDY,SJLDDB,SJLDDB,Int,9,0
120110LDFDDY,FDDYBZHFZ,FDDYBZHFZ,Float,0,0
120110LDFDDY,GJJLDDB,GJJLDDB,Int,9,0
120110LDFDDY,备注,BZ,Char,254,0
120110LDFDDY,FDDYFZ,FDDYFZ,Double,8,2
120110XZQ,BSM,BSM,Char,18,0
120110XZQ,要素代码,YSDM,Char,10,0
120110XZQ,XZQDM,XZQDM,Char,9,0
120110XZQ,XZQMC,XZQMC,Char,100,0
120110XZQ,DCMJ,DCMJ,Double,15,2
120110XZQ,JSMJ,JSMJ,Double,15,2
120110XZQ,QYKZDM,QYKZDM,Char,19,0
120110XZQ,备注,BZ,Char,254,0
120110XZQJX,BSM,BSM,Char,18,0
120110XZQJX,要素代码,YSDM,Char,10,0
120110XZQJX,JXLX,JXLX,Char,6,0
120110XZQJX,JXXZ,JXXZ,Char,6,0
120110XZQJX,JXSM,JXSM,Char,100,0
120110XZQJX,备注,BZ,Char,254,0
