Filename,FieldName,FieldAlias,Type,Length,Scale
120110CDFDDY,BSM,BSM,Char,18,0
120110CDFDDY,要素代码,YSDM,Char,10,0
120110CDFDDY,XZQDM,XZQDM,Char,12,0
120110CDFDDY,XZQMC,XZQMC,Char,100,0
120110CDFDDY,DLBM,DLBM,Char,5,0
120110CDFDDY,DLMC,DLMC,Char,60,0
120110CDFDDY,QSXZ,QSXZ,Char,2,0
120110CDFDDY,QSDWDM,QSDWDM,Char,19,0
120110CDFDDY,QSDWMC,QSDWMC,Char,254,0
120110CDFDDY,ZLDWDM,ZLDWDM,Char,19,0
120110CDFDDY,ZLDWMC,ZLDWMC,Char,254,0
120110CDFDDY,FDTBMJ,FDTBMJ,Double,17,2
120110CDFDDY,CYL,CYL,Char,19,0
120110CDFDDY,CYX,CYX,Char,19,0
120110CDFDDY,FRDBS,FRDBS,Char,1,0
120110CDFDDY,FDDJYJFQDM,FDDJYJFQDM,Char,6,0
120110CDFDDY,FDDJYJFQMC,FDDJYJFQMC,Char,33,0
120110CDFDDY,SJNF,SJNF,Char,4,0
120110CDFDDY,NJQW,NJQW,Float,5,1
120110CDFDDY,NJQWFZ,NJQWFZ,Short,3,0
120110CDFDDY,NJJSL,NJJSL,Double,10,2
120110CDFDDY,NJJSLFZ,NJJSLFZ,Short,3,0
120110CDFDDY,PD,PD,Char,10,0
120110CDFDDY,PDFZ,PDFZ,Short,3,0
120110CDFDDY,PX,PX,Char,9,0
120110CDFDDY,PXFZ,PXFZ,Short,3,0
120110CDFDDY,YXTCHD,YXTCHD,Short,3,0
120110CDFDDY,YXTCHDFZ,YXTCHDFZ,Short,3,0
120110CDFDDY,TRZD,TRZD,Char,9,0
120110CDFDDY,TRZDFZ,TRZDFZ,Short,3,0
120110CDFDDY,BTLSHL,BTLSHL,Float,7,2
120110CDFDDY,BTLSHLFZ,BTLSHLFZ,Short,3,0
120110CDFDDY,CYZHZBGD,CYZHZBGD,Float,7,2
120110CDFDDY,CYZHZBGDFZ,CYZHZBGDFZ,Short,3,0
120110CDFDDY,SWDYXJYMX,SWDYXJYMX,Char,3,0
120110CDFDDY,SWDYX,SWDYX,Char,9,0
120110CDFDDY,SWDYXFZ,SWDYXFZ,Short,3,0
120110CDFDDY,ZBTH,ZBTH,Char,12,0
120110CDFDDY,ZBTHFZ,ZBTHFZ,Short,3,0
120110CDFDDY,CDSH,CDSH,Char,12,0
120110CDFDDY,CDSHFZ,CDSHFZ,Short,3,0
120110CDFDDY,CDYZH,CDYZH,Char,15,0
120110CDFDDY,CDYZHFZ,CDYZHFZ,Short,3,0
120110CDFDDY,STZRBHHX,STZRBHHX,Char,20,0
120110CDFDDY,STZRBHHXFZ,STZRBHHXFZ,Short,3,0
120110CDFDDY,ZBJG,ZBJG,Char,24,0
120110CDFDDY,ZBJGFZ,ZBJGFZ,Short,3,0
120110CDFDDY,FDDYFZ,FDDYFZ,Double,8,2
120110CDFDDY,SJCDDB,SJCDDB,Short,1,0
120110CDFDDY,FDDYBZHFZ,FDDYBZHFZ,Double,8,3
120110CDFDDY,GJJCDDB,GJJCDDB,Short,1,0
120110CDFDDY,备注,BZ,Char,254,0
120110XZQ,BSM,BSM,Char,18,0
120110XZQ,要素代码,YSDM,Char,10,0
120110XZQ,XZQDM,XZQDM,Char,9,0
120110XZQ,XZQMC,XZQMC,Char,100,0
120110XZQ,DCMJ,DCMJ,Double,15,2
120110XZQ,JSMJ,JSMJ,Double,15,2
120110XZQ,QYKZDM,QYKZDM,Char,19,0
120110XZQ,备注,BZ,Char,254,0
120110XZQ,SHAPE_Leng,SHAPE_Leng,Double,0,0
120110XZQ,SHAPE_Area,SHAPE_Area,Double,0,0
120110XZQJX,BSM,BSM,Char,18,0
120110XZQJX,要素代码,YSDM,Char,10,0
120110XZQJX,JXLX,JXLX,Char,6,0
120110XZQJX,JXXZ,JXXZ,Char,6,0
120110XZQJX,JXSM,JXSM,Char,100,0
120110XZQJX,备注,BZ,Char,254,0
