Filename,FieldName,FieldAlias,Type,Length,Scale
地理名称注记,目标标识码,MBBSM,Int,10,0
地理名称注记,要素代码,YSDM,Char,10,0
地理名称注记,注记内容,ZJNR,Char,60,0
地理名称注记,字体,ZJZT,Char,4,0
地理名称注记,颜色,ZJYS,Char,12,0
地理名称注记,磅数,ZJBS,Short,4,0
地理名称注记,形状,ZJXZ,Char,1,0
地理名称注记,下划线,ZJXH,Char,1,0
地理名称注记,宽度,KD,Double,15,1
地理名称注记,高度,GD,Double,15,1
地理名称注记,间隔,JG,Float,6,2
地理名称注记,注记点左下角X坐标,ZXJXZB,Double,15,3
地理名称注记,注记点左下角Y坐标,ZXJYZB,Double,15,3
地理名称注记,注记方向,ZJFX,Double,10,6
地貌点,目标标识码,MBBSM,Int,10,0
地貌点,参评城市名称,CPCSMC,Char,60,0
地貌点,参评城市代码,CPCSDM,Char,6,0
地貌点,要素代码,YSDM,Char,10,0
地貌点,要素名称,YSMC,Char,60,0
地貌线,目标标识码,MBBSM,Int,10,0
地貌线,参评城市名称,CPCSMC,Char,60,0
地貌线,要素代码,YSDM,Char,10,0
地貌线,参评城市代码,CPCSDM,Char,6,0
地貌线,要素名称,YSMC,Char,60,0
地貌注记,目标标识码,MBBSM,Int,10,0
地貌注记,要素代码,YSDM,Char,10,0
地貌注记,注记内容,ZJNR,Char,60,0
地貌注记,字体,ZJZT,Char,4,0
地貌注记,颜色,ZJYS,Char,12,0
地貌注记,磅数,ZJBS,Short,4,0
地貌注记,形状,ZJXZ,Char,1,0
地貌注记,下划线,ZJXH,Char,1,0
地貌注记,宽度,KD,Double,15,1
地貌注记,高度,GD,Double,15,1
地貌注记,间隔,JG,Float,6,2
地貌注记,注记点左下角X坐标,ZXJXZB,Double,15,3
地貌注记,注记点左下角Y坐标,ZXJYZB,Double,15,3
地貌注记,注记方向,ZJFX,Double,10,6
定位基础点,目标标识码,MBBSM,Int,10,0
定位基础点,参评城市名称,CPCSMC,Char,60,0
定位基础点,参评城市代码,CPCSDM,Char,6,0
定位基础点,要素代码,YSDM,Char,10,0
定位基础点,要素名称,YSMC,Char,60,0
定位基础线,目标标识码,MBBSM,Int,10,0
定位基础线,参评城市名称,CPCSMC,Char,60,0
定位基础线,要素代码,YSDM,Char,10,0
定位基础线,参评城市代码,CPCSDM,Char,6,0
定位基础线,要素名称,YSMC,Char,60,0
定位基础注记,目标标识码,MBBSM,Int,10,0
定位基础注记,要素代码,YSDM,Char,10,0
定位基础注记,注记内容,ZJNR,Char,60,0
定位基础注记,字体,ZJZT,Char,4,0
定位基础注记,颜色,ZJYS,Char,12,0
定位基础注记,磅数,ZJBS,Short,4,0
定位基础注记,形状,ZJXZ,Char,1,0
定位基础注记,下划线,ZJXH,Char,1,0
定位基础注记,宽度,KD,Double,15,1
定位基础注记,高度,GD,Double,15,1
定位基础注记,间隔,JG,Float,6,2
定位基础注记,注记点左下角X坐标,ZXJXZB,Double,15,3
定位基础注记,注记点左下角Y坐标,ZXJYZB,Double,15,3
定位基础注记,注记方向,ZJFX,Double,10,6
居民地及设施点,目标标识码,MBBSM,Int,9,0
居民地及设施点,要素代码,YSDM,Char,10,0
居民地及设施点,要素名称,YSMC,Char,60,0
居民地及设施点,参评城市名称,CPCSMC,Char,60,0
居民地及设施点,参评城市代码,CPCSDM,Char,6,0
居民地及设施注记,目标标识码,MBBSM,Int,10,0
居民地及设施注记,要素代码,YSDM,Char,10,0
居民地及设施注记,注记内容,ZJNR,Char,60,0
居民地及设施注记,字体,ZJZT,Char,4,0
居民地及设施注记,颜色,ZJYS,Char,12,0
居民地及设施注记,磅数,ZJBS,Short,4,0
居民地及设施注记,形状,ZJXZ,Char,1,0
居民地及设施注记,下划线,ZJXH,Char,1,0
居民地及设施注记,宽度,KD,Double,15,1
居民地及设施注记,高度,GD,Double,15,1
居民地及设施注记,间隔,JG,Float,6,2
居民地及设施注记,注记点左下角X坐标,ZXJXZB,Double,15,3
居民地及设施注记,注记点左下角Y坐标,ZXJYZB,Double,15,3
居民地及设施注记,注记方向,ZJFX,Double,10,6
交通面,name,name,Char,50,0
交通面,目标标识码,MBBSM,Int,10,0
