Filename,FieldName,FieldAlias,Type,Length,Scale
全市农用地基准地价,土地级别,TDJB,Short,4,0
全市农用地基准地价,YT,YT,Char,20,0
全市农用地基准地价,QPBH,QPBH,Char,20,0
全市农用地基准地价,JZDJ1,JZDJ1,Double,10,2
全市农用地基准地价,JZDJ2,JZDJ2,Double,10,2
全市农用地基准地价,备注,BZ,Char,50,0
全市农用地基准地价,所属区,所属区,Char,50,0
全市农用地基准地价,区片编号,区片编号,Char,50,0
全市集体建设用地基准地价,YT,YT,Char,50,0
全市集体建设用地基准地价,土地级别,TDJB,Char,20,0
全市集体建设用地基准地价,QPBH,QPBH,Char,50,0
全市集体建设用地基准地价,RJL,RJL,Float,0,0
全市集体建设用地基准地价,DMJ,DMJ,Int,10,0
全市集体建设用地基准地价,LMJ,LMJ,Int,10,0
全市集体建设用地基准地价,备注,BZ,Char,254,0
全市集体建设用地基准地价,XZQ,XZQ,Char,20,0
全市集体建设用地基准地价,区片编号,区片编号,Char,50,0
