Filename,FieldName,FieldAlias,Type,Length,Scale
静海区城镇低效用地调查区图斑,目标标识码,MBBSM,Int,10,0
静海区城镇低效用地调查区图斑,要素代码,YSDM,Char,6,0
静海区城镇低效用地调查区图斑,DCQZMJ,DCQZMJ,Double,15,2
静海区城镇低效用地调查区图斑,ZZYDMJ,ZZYDMJ,Double,15,2
静海区城镇低效用地调查区图斑,SFYDMJ,SFYDMJ,Double,15,2
静海区城镇低效用地调查区图斑,GKCCYDMJ,GKCCYDMJ,Double,15,2
静海区城镇低效用地调查区图斑,GGGLYDMJ,GGGLYDMJ,Double,15,2
静海区城镇低效用地调查区图斑,其他建设用地面积,QTYDMJ,Double,15,2
静海区城镇低效用地调查区图斑,DXYDZMJ,DXYDZMJ,Double,15,2
静海区城镇低效用地调查区图斑,JCHZMJ,JCHZMJ,Double,15,2
静海区城镇低效用地调查区图斑,JCZMJ,JCZMJ,Double,15,2
静海区城镇低效用地调查区图斑,JCKMJ,JCKMJ,Double,15,2
静海区城镇低效用地调查区图斑,QTDXYDMJ,QTDXYDMJ,Double,15,2
静海区城镇低效用地调查区图斑,GYTDZMJ,GYTDZMJ,Double,15,2
静海区城镇低效用地调查区图斑,GYDXYDMJ,GYDXYDMJ,Double,15,2
静海区城镇低效用地调查区图斑,JTTDZMJ,JTTDZMJ,Double,15,2
静海区城镇低效用地调查区图斑,JTDXYDMJ,JTDXYDMJ,Double,15,2
静海区城镇低效用地调查区图斑,DCQBH,DCQBH,Char,50,0
静海区城镇低效用地调查单元图斑,目标标识码,MBBSM,Int,10,0
静海区城镇低效用地调查单元图斑,要素代码,YSDM,Char,4,0
静海区城镇低效用地调查单元图斑,YDDWMC,YDDWMC,Char,50,0
静海区城镇低效用地调查单元图斑,园地面积,YDMJ,Double,17,2
静海区城镇低效用地调查单元图斑,SJTDYT,SJTDYT,Char,50,0
静海区城镇低效用地调查单元图斑,TDQSXZ,TDQSXZ,Char,4,0
静海区城镇低效用地调查单元图斑,JSZK,JSZK,Char,4,0
静海区城镇低效用地调查单元图斑,JZMJ,JZMJ,Double,17,2
静海区城镇低效用地调查单元图斑,JZZDMJ,JZZDMJ,Double,17,2
静海区城镇低效用地调查单元图斑,JCSSPTSP,JCSSPTSP,Char,20,0
静海区城镇低效用地调查单元图斑,2015GDZC,2015GDZC,Double,12,2
静海区城镇低效用地调查单元图斑,2016GDZC,2016GDZC,Double,12,2
静海区城镇低效用地调查单元图斑,2017GDZC,2017GDZC,Double,12,2
静海区城镇低效用地调查单元图斑,2015NCZ,2015NCZ,Double,12,2
静海区城镇低效用地调查单元图斑,2016NCZ,2016NCZ,Double,12,2
静海区城镇低效用地调查单元图斑,2017NCZ,2017NCZ,Double,12,2
静海区城镇低效用地调查单元图斑,2015NSS,2015NSS,Double,12,2
静海区城镇低效用地调查单元图斑,2016NSS,2016NSS,Double,12,2
静海区城镇低效用地调查单元图斑,2017NSS,2017NSS,Double,12,2
静海区城镇低效用地调查单元图斑,GHYT,GHYT,Char,50,0
静海区城镇低效用地调查单元图斑,GHRJL,GHRJL,Float,7,2
静海区城镇低效用地调查单元图斑,GHJZMD,GHJZMD,Double,8,2
静海区城镇低效用地调查单元图斑,GZKFYY,GZKFYY,Char,100,0
静海区城镇低效用地调查单元图斑,NGZKFSJ,NGZKFSJ,Char,4,0
静海区城镇低效用地调查单元图斑,备注,BZ,Char,200,0
静海区城镇低效用地调查单元图斑,改造时间,改造时间,Char,8,0
静海区城镇低效用地调查单元图斑,DCQBH,DCQBH,Char,50,0
静海区城镇低效用地调查单元图斑,DCDYBH,DCDYBH,Char,50,0
静海区城镇低效用地调查单元图斑,内部空闲mj,内部空闲mj,Double,15,2
