Filename,FieldName,FieldAlias,Type,Length,Scale
城市建设用地基本信息点状地物,目标标识码,MBBSM,Int,10,0
城市建设用地基本信息点状地物,要素代码,YSDM,Char,10,0
城市建设用地基本信息点状地物,要素名称,YSMC,Char,60,0
城市建设用地基本信息点状地物,X坐标,XZB,Double,15,4
城市建设用地基本信息点状地物,Y坐标,YZB,Double,15,4
城市建设用地基本信息面状图斑,目标标识码,MBBSM,Int,10,0
城市建设用地基本信息面状图斑,要素代码,YSDM,Char,10,0
城市建设用地基本信息面状图斑,参评城市名称,CPCSMC,Char,60,0
城市建设用地基本信息面状图斑,参评城市代码,CPCSDM,Char,8,0
城市建设用地基本信息面状图斑,评价工作地域总面积,GZDYMJ,Double,15,4
城市建设用地基本信息面状图斑,常住人口,CZRK,Int,8,0
城市建设用地基本信息面状图斑,第三产业从业人员数,SCCYRS,Int,8,0
城市建设用地基本信息面状图斑,高校在校生总数,GXXSZS,Int,8,0
城市建设用地基本信息面状图斑,行政办公人员数,XZBGRS,Int,8,0
城市建设用地基本信息面状图斑,地区生产总值,DQSCZZ,Double,15,4
城市建设用地基本信息面状图斑,全社会消费品零售总额,XFPLS,Double,15,4
城市建设用地基本信息面状图斑,固定资产原价,GDZCYJ,Double,15,4
城市建设用地基本信息面状图斑,GYZCZ,GYZCZ,Double,15,4
城市建设用地基本信息面状图斑,GYLSZE,GYLSZE,Double,15,4
城市建设用地基本信息面状图斑,建设用地总面积,JSYDZMJ,Double,15,4
城市建设用地基本信息面状图斑,居住用地面积,JZYDMJ,Double,15,4
城市建设用地基本信息面状图斑,商业用地面积,SYYDMJ,Double,15,4
城市建设用地基本信息面状图斑,对应于固定资产原价、工业用地总收入调查区范围的工业用地面积,GYYDMJ,Double,15,4
城市建设用地基本信息面状图斑,教育用地面积,JYYDMJ,Double,15,4
城市建设用地基本信息面状图斑,行政办公用地面积,XZYDMJ,Double,15,4
城市建设用地基本信息面状图斑,总建筑面积,ZJZMJ,Double,12,4
城市建设用地基本信息面状图斑,居住用地建筑总面积,JZJZMJ,Double,12,4
城市建设用地基本信息面状图斑,商业用地建筑总面积,SYJZMJ,Double,12,4
城市建设用地基本信息面状图斑,工业用地建筑总面积,GYJZMJ,Double,12,4
城市建设用地基本信息面状图斑,教育用地建筑总面积,JYJZMJ,Double,12,4
城市建设用地基本信息面状图斑,行政办公用地建筑总面积,XZJZMJ,Double,12,4
城市建设用地基本信息面状图斑,建成区绿地率,JCLDL,Double,8,2
城市建设用地基本信息面状图斑,用水普及率,YSPJL,Double,8,2
城市建设用地基本信息面状图斑,燃气普及率,RQPJL,Double,8,2
城市建设用地基本信息面状图斑,污水处理厂集中处理率,WSCLL,Double,8,2
城市建设用地基本信息面状图斑,生活垃圾处理率,LJCLL,Double,8,2
城市建设用地基本信息面状图斑,评价工作地域综合容积率,PZHRJL,Double,8,2
城市建设用地基本信息面状图斑,评价工作地域单位面积地区生产总值,PDWSCZZ,Double,15,2
城市建设用地基本信息面状图斑,评价工作地域人口密度,PRKMD,Double,8,2
城市建设用地基本信息面状图斑,居住用地综合容积率,ZZHRJL,Double,8,2
城市建设用地基本信息面状图斑,居住用地人口密度,ZRKMD,Double,8,2
城市建设用地基本信息面状图斑,商业用地综合容积率,SZHRJL,Double,8,2
城市建设用地基本信息面状图斑,商业用地单位面积全社会消费品零售总额,SDWXFPLS,Double,10,2
城市建设用地基本信息面状图斑,商业用地单位面积从业职工数,SDWZGS,Double,10,2
城市建设用地基本信息面状图斑,工业用地综合容积率,GZHRJL,Double,8,2
城市建设用地基本信息面状图斑,工业用地单位面积固定资产总额,DWGDZCZE,Double,10,2
城市建设用地基本信息面状图斑,DWGYZCZ,DWGYZCZ,Double,10,2
城市建设用地基本信息面状图斑,DWGYLS,DWGYLS,Double,10,2
城市建设用地基本信息面状图斑,教育用地综合容积率,JYZHRJL,Double,8,2
城市建设用地基本信息面状图斑,教育用地单位面积服务学生数,JYDWRS,Double,10,2
城市建设用地基本信息面状图斑,行政办公用地综合容积率,XZHRJL,Double,8,2
城市建设用地基本信息面状图斑,行政办公用地单位面积服务人员数,XZDWRS,Double,10,2
城市建设用地基本信息线状地物,目标标识码,MBBSM,Int,10,0
城市建设用地基本信息线状地物,要素代码,YSDM,Char,10,0
城市建设用地基本信息线状地物,要素名称,YSMC,Char,60,0
城市建设用地利用状况地类图斑注记,目标标识码,MBBSM,Int,10,0
城市建设用地利用状况地类图斑注记,要素代码,YSDM,Char,10,0
城市建设用地利用状况地类图斑注记,注记内容,ZJNR,Char,60,0
城市建设用地利用状况地类图斑注记,字体,ZJZT,Char,8,0
城市建设用地利用状况地类图斑注记,颜色,ZJYS,Char,12,0
城市建设用地利用状况地类图斑注记,磅数,ZJBS,Int,8,0
城市建设用地利用状况地类图斑注记,形状,ZJXZ,Char,8,0
城市建设用地利用状况地类图斑注记,下划线,ZJXH,Char,8,0
城市建设用地利用状况地类图斑注记,宽度,KD,Double,15,1
城市建设用地利用状况地类图斑注记,高度,GD,Double,15,1
城市建设用地利用状况地类图斑注记,间隔,JG,Double,8,2
城市建设用地利用状况地类图斑注记,注记点左下角X坐标,ZXJXZB,Double,15,4
城市建设用地利用状况地类图斑注记,注记点左下角Y坐标,ZXJYZB,Double,15,4
城市建设用地利用状况地类图斑注记,注记方向,ZJFX,Double,10,6
城市建设用地基本信息注记,目标标识码,MBBSM,Int,10,0
城市建设用地基本信息注记,要素代码,YSDM,Char,10,0
城市建设用地基本信息注记,注记内容,ZJNR,Char,60,0
城市建设用地基本信息注记,字体,ZJZT,Char,8,0
城市建设用地基本信息注记,颜色,ZJYS,Char,12,0
城市建设用地基本信息注记,磅数,ZJBS,Int,8,0
城市建设用地基本信息注记,形状,ZJXZ,Char,8,0
城市建设用地基本信息注记,下划线,ZJXH,Char,8,0
城市建设用地基本信息注记,宽度,KD,Double,15,1
城市建设用地基本信息注记,高度,GD,Double,15,1
城市建设用地基本信息注记,间隔,JG,Double,8,2
