Filename,FieldName,FieldAlias,Type,Length,Scale
Export_Output,OBJECTID,OBJECTID,Int,10,0
Export_Output,行政区,行政区,Char,254,0
Export_Output,所在区,所在区,Char,254,0
Export_Output,具体位,具体位,Char,254,0
Export_Output,住宅类,住宅类,Char,254,0
Export_Output,开发企,开发企,Char,254,0
Export_Output,土地面,土地面,Double,0,0
Export_Output,建设状,建设状,Char,254,0
Export_Output,供地时,供地时,Char,254,0
Export_Output,约定开,约定开,Char,254,0
Export_Output,约定竣,约定竣,Char,254,0
Export_Output,未销售,未销售,Double,0,0
Export_Output,项目名,项目名,Char,30,0
Export_Output,Shape_Leng,Shape_Leng,Double,0,0
Export_Output,Shape_Area,Shape_Area,Double,0,0
