Filename,FieldName,FieldAlias,Type,Length,Scale
天津市东丽区标准宗地基本信息图层,OBJECTID,OBJECTID,Int,10,0
天津市东丽区标准宗地基本信息图层,BZZDBM,BZZDBM,Char,20,0
天津市东丽区标准宗地基本信息图层,SSQ,SSQ,Char,20,0
天津市东丽区标准宗地基本信息图层,ZDLX,ZDLX,Char,20,0
天津市东丽区标准宗地基本信息图层,土地级别,TDJB,Char,20,0
天津市东丽区标准宗地基本信息图层,JZDJDMJ,JZDJDMJ,Int,10,0
天津市东丽区标准宗地基本信息图层,JZDJLMJ,JZDJLMJ,Int,10,0
天津市东丽区标准宗地基本信息图层,TDSYZ,TDSYZ,Char,100,0
天津市东丽区标准宗地基本信息图层,SYZ,SYZ,Char,100,0
天津市东丽区标准宗地基本信息图层,SYQLX,SYQLX,Char,30,0
天津市东丽区标准宗地基本信息图层,TXQL,TXQL,Char,30,0
天津市东丽区标准宗地基本信息图层,PZSYNX,PZSYNX,Char,20,0
天津市东丽区标准宗地基本信息图层,SYSYNX,SYSYNX,Char,20,0
天津市东丽区标准宗地基本信息图层,BDCZSBH,BDCZSBH,Char,20,0
天津市东丽区标准宗地基本信息图层,ZDH,ZDH,Char,20,0
天津市东丽区标准宗地基本信息图层,TDSJYT,TDSJYT,Char,20,0
天津市东丽区标准宗地基本信息图层,土地面积,TDMJ,Float,0,0
天津市东丽区标准宗地基本信息图层,行政办公用地建筑总面积,XZJZMJ,Float,0,0
天津市东丽区标准宗地基本信息图层,GHJZMJ,GHJZMJ,Float,0,0
天津市东丽区标准宗地基本信息图层,XZRJL,XZRJL,Float,0,0
天津市东丽区标准宗地基本信息图层,GHRJL,GHRJL,Float,0,0
天津市东丽区标准宗地基本信息图层,XZKFCD,XZKFCD,Char,20,0
天津市东丽区标准宗地基本信息图层,QYSDKFCD,QYSDKFCD,Char,20,0
天津市东丽区标准宗地基本信息图层,GHXZ,GHXZ,Char,20,0
天津市东丽区标准宗地基本信息图层,ZYJZW,ZYJZW,Char,20,0
天津市东丽区标准宗地基本信息图层,JSZZXJL,JSZZXJL,Float,0,0
天津市东丽区标准宗地基本信息图层,LJZK,LJZK,Char,20,0
天津市东丽区标准宗地基本信息图层,ZWJTTJ,ZWJTTJ,Char,50,0
天津市东丽区标准宗地基本信息图层,ZWHJTJ,ZWHJTJ,Char,50,0
天津市东丽区标准宗地基本信息图层,DZTJ,DZTJ,Char,20,0
天津市东丽区标准宗地基本信息图层,ZDXZ,ZDXZ,Char,20,0
天津市东丽区标准宗地基本信息图层,SDYT,SDYT,Char,20,0
天津市东丽区标准宗地基本信息图层,SDQLZK,SDQLZK,Char,20,0
天津市东丽区标准宗地基本信息图层,SDRJL,SDRJL,Float,0,0
天津市东丽区标准宗地基本信息图层,SDSYNQ,SDSYNQ,Char,20,0
天津市东丽区标准宗地基本信息图层,SDKFCD,SDKFCD,Char,20,0
天津市东丽区标准宗地基本信息图层,DJQR,DJQR,Char,20,0
天津市东丽区标准宗地基本信息图层,TDJYLX,TDJYLX,Char,20,0
天津市东丽区标准宗地基本信息图层,TDJYJG,TDJYJG,Float,0,0
天津市东丽区标准宗地基本信息图层,DJRY,DJRY,Char,20,0
天津市东丽区标准宗地基本信息图层,DJSJ,DJSJ,Char,20,0
天津市东丽区标准宗地基本信息图层,QDRY,QDRY,Char,20,0
天津市东丽区标准宗地基本信息图层,QDSJ,QDSJ,Char,20,0
天津市东丽区标准宗地基本信息图层,CDDW,CDDW,Char,50,0
天津市东丽区标准宗地基本信息图层,备注,BZ,Char,100,0
天津市东丽区标准宗地基本信息图层,SHAPE_Leng,SHAPE_Leng,Double,0,0
天津市东丽区标准宗地基本信息图层,SHAPE_Area,SHAPE_Area,Double,0,0
天津市东丽区标定区域图层,OBJECTID,OBJECTID,Int,10,0
天津市东丽区标定区域图层,BZZDBM,BZZDBM,Char,20,0
天津市东丽区标定区域图层,SSQ,SSQ,Char,20,0
天津市东丽区标定区域图层,ZDLX,ZDLX,Char,20,0
天津市东丽区标定区域图层,WZMC,WZMC,Char,100,0
天津市东丽区标定区域图层,土地级别,TDJB,Char,20,0
天津市东丽区标定区域图层,JZDJDMJ,JZDJDMJ,Int,10,0
天津市东丽区标定区域图层,JZDJLMJ,JZDJLMJ,Int,10,0
天津市东丽区标定区域图层,PGSZH1,PGSZH1,Char,50,0
天津市东丽区标定区域图层,DMJ1,DMJ1,Int,10,0
天津市东丽区标定区域图层,LMJ1,LMJ1,Int,10,0
天津市东丽区标定区域图层,PGSZH2,PGSZH2,Char,50,0
天津市东丽区标定区域图层,DMJ2,DMJ2,Int,10,0
天津市东丽区标定区域图层,LMJ2,LMJ2,Int,10,0
天津市东丽区标定区域图层,QLLX,QLLX,Char,30,0
天津市东丽区标定区域图层,RJL,RJL,Float,0,0
天津市东丽区标定区域图层,KFCD,KFCD,Char,30,0
天津市东丽区标定区域图层,SYNQ,SYNQ,Char,10,0
天津市东丽区标定区域图层,BDDMJ,BDDMJ,Int,10,0
天津市东丽区标定区域图层,BDLMJ,BDLMJ,Int,10,0
天津市东丽区标定区域图层,功能区面积,MJ,Float,0,0
天津市东丽区标定区域图层,备注,BZ,Char,100,0
天津市东丽区标定区域图层,XZQMC,XZQMC,Char,100,0
天津市东丽区标定区域图层,XZQDM,XZQDM,Char,6,0
天津市东丽区标定区域图层,BDQYBM,BDQYBM,Char,20,0
天津市东丽区标定区域图层,SHAPE_Leng,SHAPE_Leng,Double,0,0
天津市东丽区标定区域图层,SHAPE_Area,SHAPE_Area,Double,0,0
天津市东丽区标定区域图层,JNDMJ,JNDMJ,Int,10,0
天津市东丽区标定区域图层,JNLMJ,JNLMJ,Int,10,0
天津市东丽区标定区域图层,QSJB,QSJB,Int,5,0
